"Name (Last, First)",Notes & Questions,Priority Level,HLS Degree(s),Grad Date(s),Position / Role,Bio,Sources,Why Notable?,Why Controversial?,Date Done,Race,Race copy,HLS Yearbook 3L Photograph,Notes (on Photograph),Gender,Party,Country
"Batts, Deborah Anne",,,J.D.,1972,Judiciary,"b.1947 - d.2020

Radcliffe 1969; HLS '72. 

U.S. District Court Judge for the Southern District of New York 1994-2012; senior status 2012-2020.

AUSA 1979-1984. Associate or Adjunct Prof Fordham Law 1984-2020 (1st Black faculty member). First openly LGBT African-American judge. 

Key cases: Central Park Five civil case; she rejected NYC's motion to dismiss a lawsuit by the 5 defendants; NYC settled w/them for $41M. Terrorism: Sentenced a Bin Ladin advisor to life in prison after he admitted stabbing a prison guard. Oversaw civil suit against Christine Todd Whitman, head of EPA accused of misleading public about risk of toxic air pollution after 9/11; found CTW had made statements so misleading, they were “conscience-shocking""; but app ct dismissed suit in 2008. At time of Batts' death, she was slated to preside over embezzlement trial of Michael Avenatti, accused of swindling $300,000 from client Stormy Daniels. ","wiki: https://en.wikipedia.org/wiki/Deborah_Batts   NYT obit: https://www.nytimes.com/2020/02/05/nyregion/deborah-batts-dead.html
http://www.thehistorymakers.org/biography/honorable-deborah-batts",Associate or Adjunct Prof Fordham Law 1984-2020 (1st Black faculty member). First openly LGBT African-American judge. Key cases: Central Park Five civil case; she rejected NYC's motion to dismiss a lawsuit by the 5 defendants; NYC settled w/them for $41M.,,9.7.2021,Black,Black,,,Female,,USA
"Caspersen, Finn M.W. ",,,LL.B.,1966,"Corporate / Business,Philanthropist","b.1941 - d.2009 Chairman and chief executive of Beneficial Corp. (consumer finance company) from 1976 to 1998 when it was bought by Household International, then ran Knickerbocker Management, a private financial management firm. Pioneer in the field of second mortgages and home equity loans. Philanthropist to Harvard and other schools, rowing, equestrian sports. Major Republican donor. Tax evasion investigations included an IRS audit for 2005-2008 focusing on his offshore accounts. In 2013, IRS exonerated FC posthumously w/no penalties or fines. Town Commissioner in Jupiter Island, FL.     Suicide by gunshot in 2009. HLS connections: Member, Dean's Advisory Board. Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history. All 4 of his sons graduated HLS; their admission was criticized in a book by journalist and H alum Daniel Golden criticizing the role of privilege and wealth in elite college admissions.",Wiki: https://en.wikipedia.org/wiki/Finn_M._W._Caspersen ,"Philanthropist to Harvard and other schools, rowing, equestrian sports. Major Republican donor. Town Commissioner in Jupiter Island, FL.  HLS connections: Member, Dean's Advisory Board. Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history.","Tax evasion investigations included an IRS audit for 2005-2008 focusing on his offshore accounts. In 2013, IRS exonerated FC posthumously w/no penalties or fines.   HLS connections: Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history. All 4 of his sons graduated HLS; their admission was criticized in a book by journalist and H alum Daniel Golden criticizing the role of privilege and wealth in elite college admissions.",9.7.2021,White,White,,,Male,R,USA
"Kuehl, Sheila ",,,J.D.,1978,Government,"-Sheila Ann Kuehl was born in Tulsa, Oklahoma in 1941 to a Catholic father, an airline construction worker, and a Jewish mother. 
- At age eight, she starred on the NBC family radio program, The Penny Williams Show. She continued as a child television actor, most famously starring as the unrequited love Zelda Gilroy in CBS' The Many Lives of Dobie Gills from 1959 to 1963. 
- She entered UCLA at 16. When her sorority discovered her relationship with another woman, they expelled her. Her acting career began to decline at this point. 
- After graduation, she worked at UCLA with student groups. After being turned down for a promotion, she decided to attend Harvard Law School.
-In her final year at HLS, she chaired the celebration of the 25th anniversary of the first female class and won the Ames Moot Court Competition.
-After Law School, she worked in private practice and advocated for women's rights issues. 
-In 1994, she became the first openly gay person elected to the California State Assembly. 
-In 1997, she became the first woman to serve as President pro Tempore of the body. 
-In 2000, she became the first elected to the California State Senate.
- During her time in the Legislature, she authored many laws, with focuses on gender, health care, and LGBT issues. She has been voted most intelligent member of the California legislature multiple times. 
- In 2014, she was elected to the LA County Board of Supervisors.","Wiki: https://en.wikipedia.org/wiki/Sheila_Kuehl
https://harvardjlg.com/the-journal/",,,,White,White,,,Female,D,USA
"Estrich, Susan ",,,J.D.,1977,"Government,Law Firm,Academia / Education",b. 1952,https://en.wikipedia.org/wiki/Susan_Estrich,,,,White,White,,,Female,D,USA
"Obama, Barack",,1 (POTUS),J.D.,1991,Government,"In 1990, Barack Obama was elected as the first Black president of the Harvard Law Review. Obama, who graduated from HLS in 1991, would later represent Illinois in the U.S Senate, and in 2008 would become the 44th President of the United States, and the first African-American president.",https://en.wikipedia.org/wiki/Barack_Obama,,,,"Black (Mixed, Kenyan, White)",Black,,,Male,D,USA
"Obama, Michelle Robinson ",,1 (FLOTUS) ,J.D.,1988,Government,HLS Alum and first African-American First Lady,https://en.wikipedia.org/wiki/Michelle_Obama,,,,Black,Black,,,Female,D,USA
"Sewell, Terri",,2,J.D.,1992,Government,first Black woman to serve in Congress from the state of Alabama,https://today.law.harvard.edu/feature/leading-women/,,,,Black,Black,,,Female,D,USA
"Robinson, Mary ",,1,LL.M.,1968,Government,"1990, first woman president of Ireland",https://en.wikipedia.org/wiki/Mary_Robinson,,,,White,White,,,Female,Independent,Ireland
"Duong, Wendy N. ",https://books.google.com/books?id=3AxIAgAAQBAJ&pg=PA353&lpg=PA353&dq=Wendy+Duong+%26+Harvard+law+school&source=bl&ots=_2m_PT1XUo&sig=ACfU3U2m6I5_utbobZ9IhWI0tQyK7ERQ0Q&hl=en&sa=X&ved=2ahUKEwi9w4L9xuniAhVLU98KHedjAOU4ChDoATAIegQICBAB#v=onepage&q=Wendy%20Duong%20%26%20Harvard%20law%20school&f=false,1,LL.M.,1999,Judiciary,First Vietnamese American to be appointed a judge in the United States in 1992.,https://en.wikipedia.org/wiki/Wendy_Duong,,,,Asian (Vietnamese),Asian,,,Female,,"USA,Vietnam"
"Montoya, Margaret ",,1 (No Position),J.D.,1978,,"The documentary tells the story of Margaret Montoya, the first Latina to be admitted to Harvard Law School. The documentary celebrates her admissions, sustained leadership, and consistent commitment to civil rights, racial justice and health equity.",https://news.unm.edu/news/documentary-featuring-margaret-montoya-highlights-first-latina-admitted-to-harvard-law-school,,,,Hispanic,Hispanic,,,Female,,USA
"Girma, Haben  ",,1,J.D.,2013,Activist,"b. 1988.   First deaf-blind graduate of Harvard Law School, 2013.   Disability rights activist advocating for accessible digital services.   2013-16: Member of Disability Rights Advocates, Berkeley, CA.   2016-present: Full-time non-litigation disability rights activist, speaker, consultant.   2019: Author of memoir, ""Haben: The Deafblind Woman Who Conquered Harvard Law"".   Select speeches: TED talk; White House commemoration of ADA's 25th anniversary with Obama/Biden","https://en.wikipedia.org/wiki/Haben_Girma, 
https://habengirma.com/","First deafblind HLS graduate, 2013",,16.7.2021,"Black (Ethiopian, Eritrean)",Black,,,Female,,USA
"Redding, Louis Lorenzo ",Louis Lorenzo Redding.    https://Blackthen.com/louis-lorenzo-redding-prominent-lawyer-and-civil-rights-advocate/,1,LL.B.,1928,"Public Interest Law / Nonprofit Legal Services,Activist","A 1928 HLS graduate, Redding became the first African American lawyer in Delaware in 1929. He was a champion of civil rights in Delaware and nationally, serving as part of the NAACP legal team that challenged school segretation in Brown v. Board of Education",https://en.wikipedia.org/wiki/Louis_L._Redding,,,,Black,Black,,,Male,,USA
"Fawcett, F. Conger ","Graduated in 1962 check the yearbooks, Miranda v. Arizona",1,LL.B.,1962,"Law Firm,Public Interest Law / Nonprofit Legal Services,Corporate / Business",,https://www.legacy.com/us/obituaries/marinij/name/frank-fawcett-obituary?pid=156083625,,,,White,White,,,Male,,USA
"Clement, Paul ","Not sure how we'll incoprorate this but it's awesome, and could be truncated to suit our needs.  He's politically diverse, and has been on three out of the 25 landmark cases that made my list.  United States v. Windsor, District of Columbia v. Heller, National Federation of Independent Business v. Sebelius . [REVISED - DON'T RECOMMEND, NOT REALLY FOR THE RESPONDENT ON WINDSOR]",1,J.D.,1992,"Public Interest Law / Nonprofit Legal Services,Law Firm,Academia / Education,Government",Paul Clement ,"https://today.law.harvard.edu/200-years-countless-stories-paul-clement/
https://en.wikipedia.org/wiki/Paul_Clement",,,,White,White,,,Male,,USA
"Driemeir, Douglas H. ","Graduated in 1994; Supervising Editor of the Harvard Law Review; Check the Yearbooks, Obergefell v. Hodges.  He appears in the 1993 yearbook.  We can use that photo.  https://www.ropesgray.com/en/biographies/h/douglas-hallward-driemeier",1,J.D.,1994,Public Interest Law / Nonprofit Legal Services,"1994 HLS graduate, Douglas Hallward-Driemeir argued before the Supreme Court in Obergefell v. Hodges, the landmark case which secured marriage equality across the United States.  Driemeir argued that marriages valid in one state must be recognized as valid by other states. ",https://www.ropesgray.com/en/biographies/h/douglas-hallward-driemeier,,,,White,White,,,Male,,USA
"Nader, Ralph",,1,LL.B.,1958,"Government,Activist",,"https://en.wikipedia.org/wiki/Ralph_Nader,
https://psmag.com/news/the-essential-ralph-nader",,,,White (Lebanese),White,,,Male,"Green,Reform,I",USA
"Hauser, Rita ",,1,attended; did not graduate,1955-56,"Public Interest Law / Nonprofit Legal Services,Government,Law Firm,International","Rita Hauser - US AMBA@sador to UN, Human Rights Council ","https://en.wikipedia.org/wiki/Rita_Hauser
HLS Student in 1955-56 but did not earn degree)",,,,White (Jewish),White,,,Female,R,USA
"Lynch, Loretta ",,2,J.D.,1984,"Government,Corporate / Business","When she was appointed the 83rd attorney general of the United States in 2015, Lynch became the first African-American woman to hold the office.",https://en.wikipedia.org/wiki/Loretta_Lynch,,,,Black,Black,,,Male,D,USA
"Branch, Ethel ",https://www.law360.com/articles/1148554/navajo-nation-ag-rejoins-kanji-katzen-to-lead-ariz-office   http://www.kanjikatzen.com/ethel-branch-former-navajo-nation-attorney-general-to-return-to-kanji-katzen-and-lead-flagstaff-office/,1,J.D.,2008,Public Interest Law / Nonprofit Legal Services,Ethel Branch '08 served as Navajo Nation Attorney General from 2015-2019.,https://today.law.harvard.edu/feature/branch-returns-navajo-roots/,,,,American Indian (Navajo),American Indian,,,Female,,USA
"Strode, Blake ",,1,J.D.,2015,Public Interest Law / Nonprofit Legal Services,"Blake Strode '15 is the executive director of nonprofit civil rights firm ArchCity Defenders, based in St. Louis, Missouri.",https://today.law.harvard.edu/no-crime-poor/,,,,Black,Black,,,Male,,USA
"Reyes, Natalie Trigo ",,1,J.D.,2019,Public Interest Law / Nonprofit Legal Services,,https://today.law.harvard.edu/on-a-mission/,,,,Hispanic (Puerto Rico),Hispanic,,,Female,,USA
"Crespo, Andrew ",,1,J.D.,2008,"Public Interest Law / Nonprofit Legal Services,Academia / Education",Natalie Trigo Reyes ’19 organized legal and humanitarian aid in Puerto Rico following Hurricaine Maria.,"https://today.law.harvard.edu/on-a-mission/
https://www.thecrimson.com/article/2021/4/23/long-struggle-for-hls-representation/
https://hls.harvard.edu/alumni/reunions/celebration-of-latino-alumni/speaker-biographies/",,,,Hispanic,Hispanic,,,Male,,USA
"Nalunkuma,  Susan Mirembe",,1,LL.M.,2015,"Public Interest Law / Nonprofit Legal Services,Activist",,https://today.law.harvard.edu/ll-m-s-for-lgbt-rights/,,,,Black (Ugandan),Black,,,Female,,Uganda
"Akullo, Godiva ",https://www.the-isla.org/our-staff/susan-mirembe-nalunkuma/   https://ug.linkedin.com/in/godiva-monica-akullo-0941371a    Godiva worked for us at the circulation desk during her @LL.M.@ year!,1,LL.M.,2015,"Public Interest Law / Nonprofit Legal Services,Activist",Susan Mirembe Nalunkuma @LL.M.@ ’15 and Godiva Akullo @LL.M.@ ’15 are LGBT and feminist activists in Uganda.,https://today.law.harvard.edu/ll-m-s-for-lgbt-rights/,,,,Black (Ugandan),Black,,,Female,,Uganda
"Stevenson, Bryan ",,1,J.D.,1985,Public Interest Law / Nonprofit Legal Services,"Bryan Stevenson is the founder and executive director of the Equal Justice Initiative, the organization behind the National Memorial for Peace and Justice and The Legacy Museum in Montgomery Alabama.",See video for possible quotes: https://today.law.harvard.edu/bryan-stevenson-85-we-cant-recover-from-this-history-until-we-deal-with-it/,,,,Black,Black,,,Male,,USA
"Fong, Hiram ",,1 (First Asian American Senator),LL.B.,1935,Government,"Fong was the first HLS Asian American graduate and first U.S. Senator of Asian ancestry, when he represented Hawaii after its admisison to the Union.",https://en.wikipedia.org/wiki/Hiram_Fong,,,,Asian (Chinese),Asian,,,Male,R,"USA,Hawaiian Kingdom"
"Chao, Tien Lin  (赵天麟）",,1 (No Position; First Asian American Graduate),LL.B.,1911,,Chao was the first HLS graduate from China,Class photo,,,,Asian (Chinese),Asian,,,Male,,
"Cheung, Andrew  (張舉能)",,1,LL.M.,1985,Judiciary,Cheung is Permanent Judge of the Court of Final Appeal Hong Kong,https://www.hkcfa.hk/en/about/who/judges/chief_justice/index.html,,,,Asian,Asian,,,Male,,China
"Sangay, Lobsang ",,1,"LL.M.,S.J.D.",1996 / 2004,Government,The first Tibetan to earn a @S.J..D.@ degree from Harvard Law School.  He is Tibetan Prime Minister in Exile,https://en.wikipedia.org/wiki/Lobsang_Sangay,,,,Asian,Asian,,,Male,,"China,Tibet,India,USA"
"Corona, Renato ",,1,LL.M.,1982,Judiciary,the 23rd Chief Justice of the Supreme Court of the Philippines,https://en.wikipedia.org/wiki/Renato_Corona,,,,Asian (Filipino),Asian,,,Male,National Democratic Party of Tibet,Philippines
"Ying-jeou, Ma  (馬英九)",,1,S.J.D.,1981,Government,Former president of the Republic of China (Taiwan),https://en.wikipedia.org/wiki/Ma_Ying-jeou,,,,Asian (Chinese),Asian,,,Male,Kuomintang,"Taiwan,China"
"Kaneko, Kentaro  (金子 堅太郎)",,2,LL.B.,1878,Government,Count and former statesman and diplomat in Meiji Japan; one of the draftors of Meiji Constitution ,"https://www.thecrimson.com/article/1904/4/14/baron-kaneko-to-lecture-pbaron-kentaro/, 
",,,,Asian (Japanese),Asian,,,Male,,Japan
"Chang, Fu-yun  (张福运)",,2,LL.B.,1917,Government,"Former Director General of the Chinese Maritime Customs Service, he played a central role in returning customs authority from foreign domination to Chinese control, as well as regaining China's tariff autonomy.  In his name, Chang's daughter Julia (张之香, MA 1967, first U.S. aMBA@ssador of Asian descent) and Son-in-law Stuart Bloch (@LL.B.@ 1967) founded F.Y. China foundation in 1988. The foundation has has helped more than 60 Chinese earn Harvard Law degrees, and today those scholars are among China's most influential judges, attorneys, professors and legal experts. https://uscet.org/fy-chang-foundation)  and https://blogs.harvard.edu/guorui/2008/11/19/rule-of-law-commitment-and-the-future-of-china-and-us-fy-chang-foundations-twenty-year-celebration/",http://web.archive.org/web/20190326204113/https://uscet.org/fy-chang-foundation,,,,Asian ,Asian,,,Male,,China
"Bo, Li  (李波）",,2,J.D.,1999,"Corporate / Business,Government"," Bo was the principal legal adviser to the head of the Chinese central bank and was intimately involved in the most complex issues the bank has confronted vis-à-vis foreign participation in the Chinese economy and Sino-American relations. In 2018, Li left the Chinese central bank to become the President of All-China Federation of Returned Overseas Chinese.","https://today.law.harvard.edu/feature/why-china/
who is not only a magna cum laude @J.D.@ graduate but also holds a Ph.D. in economics from Stanford.",,,,Asian ,Asian,,,Male,,China
"Gersen, Jeannie Suk ",,2,J.D.,2002,"Academia / Education,Government,International","In 2010, Suk was granted tenure; she was the first Asian American woman awarded tenure in the law school's history] She is currently the John H. Watson, Jr. Professor of Law. ",https://hls.harvard.edu/faculty/directory/10869/Gersen,,,,Asian,Asian,,,Female,,USA
"Fenwick, Lila A. ",,1,LL.B.,1956,"Public Interest Law / Nonprofit Legal Services,International,Government","Fenwick served as the Chief of the Human Rights Division at the United Nations. In 1956, she was the first African-American woman to graduate from Harvard Law School. . ",https://en.wikipedia.org/wiki/Lila_Fenwick,,,,Black,Black,,,Female,,USA
"Lopez, Henry (Hank) ",,1 (First Chicano Graduate),LL.B.,1948,,First Chicano graduate,"First Chicano Graduate of HLS: Hank Lopez, 1948, Source: Raza Review, 1980? HOLLIS 012755680 ",,,,Hispanic (Mexican),Hispanic,,,Male,,USA
"Richards, Judith Hope ",Different last name on Wikipedia page,2,J.D.,1964,"Government,Academia / Education,Corporate / Business,Law Firm",First woman elected fellow of Harvard College,https://en.wikipedia.org/wiki/Judith_Richards_Hope,,,,White,White,,,Female,R,USA
"Umana, Imelme ",,3,J.D.,2018,,2017 First Black woman elected president of Harvard Law Review,https://en.wikipedia.org/wiki/ImeIme_Umana,,,,Black (Nigerian),Black,,,Female,,USA
"Coleman, William T. ",,2,LL.B.,1946,"Government,Judiciary",William T. Coleman. @LL.B.@. 1946,https://en.wikipedia.org/wiki/William_Thaddeus_Coleman_Jr.,,,,Black ,Black,,,Male,R,USA
"Blades, Rubén ",,1,LL.M.,1985,"Government,Arts / Media / Entertainment",,https://en.wikipedia.org/wiki/Rubén_Blades,,,,Hispanic ,Hispanic,,,Male,,Panama
"Davis, Clive ",,1,LL.B.,1956,"Corporate / Business,Arts / Media / Entertainment",,https://en.wikipedia.org/wiki/Clive_Davis,,,,White (Jewish),White,,,Male,,USA
"Wu, Michelle ",,2,J.D.,2012,Government,,https://en.wikipedia.org/wiki/Michelle_Wu,,,,Asian (Chinese),Asian,,,Female,,USA
"Chu, Morgan ",,1 (Donor of HLS Chair),J.D.,1976,"Law Firm,Philanthropist",,https://en.wikipedia.org/wiki/Morgan_Chu,,,,Asian (Chinese),Asian,,,Male,,USA
"Docherty, Bonnie",,1,J.D.,2001,"Public Interest Law / Nonprofit Legal Services,Academia / Education",,https://hls.harvard.edu/faculty/directory/10217/Docherty,,,,White,White,,,Female,,USA
"Richardson, Julieanna ",,3,J.D.,1980,Academia / Education,,https://en.wikipedia.org/wiki/Julieanna_Richardson The History Makers,,,,Black,Black,,,Female,,USA
"Coomaraswamy, Radhika ",,1,LL.M.,1982,"Activist,Public Interest Law / Nonprofit Legal Services",,https://en.wikipedia.org/wiki/Radhika_Coomaraswamy,,,,Asian (Sri Lankan),Asian,,,Female,,Sri Lanka
"Pillay, Navi ",,1,"LL.M.,S.J.D.",1982 / 1988,"Judiciary,Public Interest Law / Nonprofit Legal Services,International","The first non-white judge on the High Court of South Africa, Navi Pillay served as the UN High Commissioner for Human Rights from 2008-2014. As a judge on the International Criminal Tribunal for Rwanda, she set the legal precedent that rape and sexual assault could be considered an act of genocide.",https://en.wikipedia.org/wiki/Navi_Pillay,,,,Asian (Indian),Asian,,,Female,,South Africa
"MacLeish, Archibald",,1,LL.B.,1919,"Librarian,Arts / Media / Entertainment,Government",,"https://en.wikipedia.org/wiki/Archibald_MacLeish, https://hollisarchives.lib.harvard.edu/repositories/4/archival_objects/1049431",,,,White,White,,,Male,,USA
"Chenault, Kenneth ",,3,J.D.,1976 (77),Corporate / Business,,https://en.wikipedia.org/wiki/Kenneth_Chenault,,,,Black,Black,,,Male,,USA
"Romney, Mitt ",,1 (Presidential Candidate),J.D.,1975,"Government,Corporate / Business",,https://en.wikipedia.org/wiki/Mitt_Romney,,,,White ,White,,,Male,R,USA
"Vilá, Aníbal Acevedo ",,1,LL.M.,1987,"Government,Academia / Education,Corporate / Business",,https://en.wikipedia.org/wiki/An%C3%ADbal_Acevedo_Vilá,,,,Hispanic,Hispanic,,,Male,Popular Democratic,USA
"Power, Samantha ",,2,J.D.,1999,Government,,https://en.wikipedia.org/wiki/Samantha_Power,,,,White,White,,,Female,D,USA
"Reno, Janet ",,2,LL.B.,1963,Government,,https://en.wikipedia.org/wiki/Janet_Reno,,,,White,White,,,Female,D,USA
"Oposa, Antonio, Jr.",,1,LL.M.,1997,"Public Interest Law / Nonprofit Legal Services,Activist",,https://en.wikipedia.org/wiki/Antonio_Oposa,,,,Asian,Asian,,,Male,,Philippines
"Grossman, David",,`1,J.D.,1988,Public Interest Law / Nonprofit Legal Services,,http://www.davidgrossmanfund.org/new-index,,,,White,White,,,Male,,USA
"Fleschner, Kristin ",,1,J.D.,2014,Activist,,https://www.kristinfleschner.com/,,,,White,White,,,Female,,USA
"Raggi, Reena ",,2,J.D.,1976,Judiciary,,https://en.wikipedia.org/wiki/Reena_Raggi,,,,White,White,,,Female,,USA
"Saeed, Faiza ",,3,J.D.,1991,Law Firm,,https://en.wikipedia.org/wiki/Faiza_Saeed,,,,Asian (Pakistani),Asian,,,Female,,USA
"Murthy, Sheela ",,1,LL.M.,1987,Law Firm,,https://en.wikipedia.org/wiki/Sheela_Murthy,,,,Asian (Indian),Asian,,,Female,,"USA,India"
"Zoellick,  Robert B. ",,1,J.D.,1981,"Corporate / Business,Public Interest Law / Nonprofit Legal Services,International",,https://en.wikipedia.org/wiki/Robert_Zoellick,,,,White (German),White,,,Male,R,USA
"Ngcobo, Sandile ",,1,LL.M.,1986,Judiciary,,https://en.wikipedia.org/wiki/Sandile_Ngcobo,,,,Black (South African),Black,,,Male,,South Africa
"Frank, Barney ",,2,J.D.,1977,Government,,https://en.wikipedia.org/wiki/Barney_Frank,Gay,,,White (Jewish),White,,,Male,D,USA
"Behrendt, Larissa ",,1,"LL.M.,S.J.D.",1994 / 1998,Academia / Education,,https://en.wikipedia.org/wiki/Larissa_Behrendt,,,,"Aboriginal (Mixed, White)",Aboriginal,,,Female,,USA
"Weld, William ",,2,J.D.,1970,"Government,Law Firm",,https://en.wikipedia.org/wiki/Bill_Weld,,,,White,White,,,Male,"R,L",USA
"Silberman, Laurence ",,2,LL.B.,1961,Judiciary,,"https://en.wikipedia.org/wiki/Laurence_Silberman

https://www.fjc.gov/history/judges/silberman-laurence-hirsch
",,,,White,White,,,Male,R,USA
"Stern, Todd ",,2,J.D.,1977,Government,,https://en.wikipedia.org/wiki/Todd_Stern,,,,White,White,,,Male,D,USA
"Sarbanes, John ",,2,J.D.,1988,Government,,https://en.wikipedia.org/wiki/John_Sarbanes,,,,"White (Greek, English)",White,,,Male,D,USA
"Davis, Wendy",,2,J.D.,1993,Government,,https://en.wikipedia.org/wiki/Wendy_Davis_(politician),,,,White,White,,,Female,D,USA
"Elorza, Jorge ",,2,J.D.,2003,Government,,https://en.wikipedia.org/wiki/Jorge_Elorza,,,,Hispanic (Guatemalan),Hispanic,,,Male,D,USA
"Schroeder, Pat ",,2,J.D.,1964,Government,First female U.S. rep elected in Colorado ,https://en.wikipedia.org/wiki/Pat_Schroeder,,,,White,White,,,Female,D,USA
"Harman, Jane",,2,J.D.,1969,"Government,Academia / Education",,https://en.wikipedia.org/wiki/Jane_Harman,,,,"White (Polish, Russian)",White,,,Female,D,USA
"Dukakis, Michael ",,2,LL.B.,1960,"Government,Academia / Education",,https://en.wikipedia.org/wiki/Michael_Dukakis#Early_life_and_education,,,,White (Greek),White,,,Male,D,USA
"Babbitt, Bruce ",,2,LL.B.,1965,Government,,https://en.wikipedia.org/wiki/Bruce_Babbitt,,,,White,White,,,Male,D,USA
"Trope, Jack F. ",,1,J.D.,1980,Public Interest Law / Nonprofit Legal Services,,https://www.linkedin.com/in/jack-trope-74226713,,,,,,,,,,
"Califano, Joseph",,1,LL.B.,1955,"Government,Public Interest Law / Nonprofit Legal Services,Academia / Education",,https://en.wikipedia.org/wiki/Joseph_A._Califano_Jr.,,,,White,White,,,Male,D,USA
"Holton, Anne ",,2,J.D.,1983,Government,,https://en.wikipedia.org/wiki/Anne_Holton,,,,White,White,,,Female,D,USA
"Lee, Debra L. ",,1,J.D.,1980,"Corporate / Business,Arts / Media / Entertainment",,https://en.wikipedia.org/wiki/Debra_L._Lee,,,,Black,Black,,,Female,,USA
"Lenaerts, Koen",,1,LL.M.,1978,Judiciary,,https://en.wikipedia.org/wiki/Koen_Lenaerts,,,,White (Belgian),White,,,Male,,Belgium
"Levin, Carl ",,2,LL.B.,1959,Government,,https://en.wikipedia.org/wiki/Carl_Levin,,,,White (Jewish),White,,,Male,D,USA
"Lu, Annette ",,1,LL.M.,1978,"Government,Activist",,https://en.wikipedia.org/wiki/Annette_Lu,,,,Asian (Chinese),Asian,,,Female,Democratic Progressive Party,Taiwan
"Flom, Joseph",,3,LL.B.,1948,"Law Firm,Corporate / Business",,https://en.wikipedia.org/wiki/Joseph_Flom,,,,White (Jewish),White,,,Male,,USA
"Miller, Paul Steven ",,1,J.D.,1986,"Public Interest Law / Nonprofit Legal Services,Activist,Government",,https://en.wikipedia.org/wiki/Paul_Steven_Miller,,,,White,White,,,Male,,USA
"Fields, Bert ",,1,LL.B.,1952,Arts / Media / Entertainment,,https://en.wikipedia.org/wiki/Bert_Fields,,,,White,White,,,Male,,USA
"Gergen, David ",,1,LL.B.,1967,"Government,Arts / Media / Entertainment",,https://en.wikipedia.org/wiki/David_Gergen,,,,White,White,,,Male,"R,I",USA
"Bunche, Ralph ",,1,LL.D.,1949,"Government,Public Interest Law / Nonprofit Legal Services,International",First African-American awarded a Nobel Peace Prize,http://en.wikipedia.org/wiki/Ralph_Bunche; http://www.harvard.edu/nobel-laureates  ,,,,Black ,Black,,,Male,,USA
"Robinson, Randall ",,1,J.D.,1970,Activist,Founder and former president of TransAfrica; received HLS Medal of Freedom 2005,https://en.wikipedia.org/wiki/Randall_Robinson,,,,Black,Black,,,Male,,USA
"Martins, Mark ",,1,J.D.,1990,Military,Army Brigadier General; received HLS Medal of Freedom 2011,https://en.wikipedia.org/wiki/Mark_S._Martins,,,,White,White,,,Male,,USA
"Bok, Derek ",,3,J.D.,1954,Academia / Education,"HLS Dean, Harvard president; received HLS Medal of Freedom 2011",https://en.wikipedia.org/wiki/Derek_Bok,,,,White,White,,,Male,,USA
"Ferencz, Benjamin B. ",,1,LL.B.,1943,Public Interest Law / Nonprofit Legal Services,Chief prosecutor of Nuremberg Trials; received HLS Medal of Freedom 2014,https://en.wikipedia.org/wiki/Ben_Ferencz,,,,White (Jewish),White,,,Male,,USA
"Wells, Theodore V., Jr. ",,1 (HLS Medal of Freedom),J.D. / M.B.A.,1976,Law Firm,"Partner & Co-Chair of Litigation: Paul, Weiss, Rifkind, Wharton & Garrison; received HLS Medal of Freedom 2016",https://en.wikipedia.org/wiki/Ted_Wells,,,,Black,Black,,,Male,,USA
"Leighton, George N. ",,2,LL.B.,1943 (46),Judiciary,"Senior Judge on US District Court, 
Northern District of Illinois","https://www.thehistorymakers.org/biography/honorable-george-n-leighton
https://www.fjc.gov/history/judges/leighton-george-neves",,,,Black ,Black,"1941/42, page 97",1945/46 not pictured (no 1943 yearbook),Male,,USA
"Edwards, Dennis, Jr.
",,3,J.D.,1944,Judiciary,"New York
Court of Claims (probably now retired )","https://www.nytimes.com/1983/06/12/nyregion/3-judges-and-lawyer-chosen-by-cuomo-for-court-of-claims.html
https://en.wikipedia.org/wiki/Dennis_Edwards_Jr.",,,,Black,Black,"1941/42, page 118",1945/46 not pictured   (no 1944 yearbook),Male,,USA
"Sugarmon, Russell B.,  Jr.",,3,LL.B.,1953,Judiciary,"Judge, General Sessions bench, Memphis, Tennessee",http://www.thehistorymakers.com/biography/honorable-russell-b-sugarmon,,,,Black,Black,"1953, page 57",,Male,,USA
"Newman, Theodore R., Jr.",,2,J.D.,1958,Judiciary,"Chief Judge of the Court of Appeals, District of Washington, DC (retired 1991)",https://www.thehistorymakers.org/biography/honorable-theodore-newman-jr,,,,Black,Black,"1958, page 65",,Male,,USA
